Date,Day Users,Day Repeat Users,Day New Users,Repeat User Ids
2019-01-18,001,0,1,001,=,,UKPR-0826
2019-01-21,008,4,4,009,####====,HLSR-7855+MLVG-6486+VVQS-6353+YQIY-2846,CVTN-9680+LXDA-2236+VBUX-0371+ZKCU-3436
2019-01-22,010,7,3,017,#######===,FAQZ-9635+MGUF-2016+MLVG-6486+POHS-7433+VVKA-4702+XNYI-7909+YQIY-2846,GXGD-3697+JXBH-6097+KYIP-3217
2019-01-23,010,4,6,023,####======,FAQZ-9635+MLVG-6486+VVQS-6353+XNYI-7909,AVDG-2569+BPCW-5819+UBNP-9195+WDNG-5390+XJJH-3627+YBMY-8296
2019-01-24,010,6,4,031,######====,DUKR-6322+JHCU-0921+PBHJ-9721+VVKA-4702+XKIT-5112+XNYI-7909,BDTW-8653+OSEC-9795+RSNG-1584+YKTW-7991
2019-01-25,013,8,5,039,########=====,BMWY-7330+DUKR-6322+FAQZ-9635+MLVG-6486+VKSK-5523+XKIT-5112+XNYI-7909+YMAG-5715,HIPH-6374+JFRP-7288+PDEV-4614+SBKL-3328+SUMC-2282
2019-01-26,004,3,1,040,###=,BMWY-7330+VVQS-6353+XNYI-7909,LKKH-3523
2019-01-27,002,1,1,041,#=,VVQS-6353,TLQR-1070
2019-01-28,012,9,3,049,#########===,BWIE-1501+CLLN-2975+FAQZ-9635+MLVG-6486+QOYQ-2964+SDGY-3727+WJSN-4420+XKIT-5112+XNYI-7909,GHSC-5412+NAVL-0775+PHBW-5163
2019-01-29,019,9,10,062,#########==========,CLLN-2975+DUKR-6322+EKTS-4951+FAQZ-9635+GHRG-9006+GHZU-2989+MLVG-6486+SDGY-3727+XKIT-5112,JEJV-1767+MNOX-1826+MOWQ-3263+MWVD-7972+NCUS-5363+OEHA-3895+UJGY-2229+XQGO-8003+YPXI-8697+ZZOT-2314
2019-01-30,030,17,13,084,#################=============,BVUB-0093+BXPG-4160+DUKR-6322+EZVD-9100+FAQZ-9635+FODY-2673+GHRG-9006+GHZU-2989+HVPO-7620+LUHO-0453+MLVG-6486+UTNP-6934+VKSK-5523+VPWN-9823+XBGO-8810+XKIT-5112+XNYI-7909,CFNI-4363+DDLG-3603+FGAV-4786+GKTJ-9130+JVUA-4666+KEJO-2163+MGAS-8511+MSHN-8260+NIQI-1155+QBHD-2281+RUUZ-1182+UVQP-9868+YSJX-2798
2019-01-31,019,15,4,093,###############====,BVUB-0093+BXPG-4160+EZVD-9100+FAQZ-9635+FODY-2673+GHRG-9006+HYIT-8542+MLVG-6486+MZDE-6594+NOZK-3836+UTNP-6934+WQXB-7118+XBGO-8810+XNYI-7909+ZFPL-1543,IHZS-1606+THGD-2893+WQEC-9381+YKCM-0704
2019-02-01,023,17,6,104,#################======,AJYT-3559+BXPG-4160+DPCU-5083+FAQZ-9635+HVPO-7620+HYIT-8542+LYZT-7818+MGUF-2016+MLVG-6486+MNCV-9652+MZDE-6594+OPPT-1297+VKSK-5523+VPWN-9823+XKIT-5112+XNYI-7909+YMAG-5715,BOVB-6576+PZTP-2601+SFOC-2740+UMCM-1679+VXQB-9802+VZSS-1975
2019-02-02,009,7,2,106,#######==,BXPG-4160+FODY-2673+LYZT-7818+MNCV-9652+OPPT-1297+UTNP-6934+VPWN-9823,CKHN-0397+IJWX-4997
2019-02-03,006,5,1,107,#####=,AJYT-3559+BWIE-1501+BXPG-4160+MNCV-9652+VPWN-9823,SDKK-4439
2019-02-04,024,20,4,119,####################====,BVUB-0093+BXPG-4160+DOQS-6727+ECPV-4896+FRVR-4426+GBOG-7208+GHRG-9006+HNJO-5504+JXDZ-4888+LMXX-1482+LUHO-0453+LYZT-7818+MLVG-6486+OPPT-1297+PBHJ-9721+UTNP-6934+VPWN-9823+XNYI-7909+ZFPL-1543+ZKEI-0501,OPQN-8560+RNSO-8120+TPRL-2474+YTBR-8886
2019-02-05,018,14,4,125,##############====,AJYT-3559+BXPG-4160+DOQS-6727+DPCU-5083+ELEK-5479+HNJO-5504+JXDZ-4888+LMXX-1482+MLVG-6486+UGZV-3950+VPWN-9823+XKIT-5112+XNYI-7909+ZFPL-1543,ESZY-2012+NAEH-2143+ORHC-2226+VGGE-4214
2019-02-06,020,16,4,133,################====,AJYT-3559+BPUW-1369+BVUB-0093+BXPG-4160+EASQ-4222+EKTS-4951+FRVR-4426+JXDZ-4888+MGQK-0871+MLVG-6486+NOZK-3836+RQVY-7399+UGZV-3950+VPWN-9823+XKIT-5112+ZFPL-1543,HKTG-5703+MXKE-6712+PZYU-3618+QOLK-3609
2019-02-07,013,12,1,134,############=,AJYT-3559+BVUB-0093+BXPG-4160+EASQ-4222+ELEK-5479+JXDZ-4888+LMXX-1482+MLVG-6486+RQVY-7399+WJSN-4420+XKIT-5112+XNYI-7909,UYSB-4918
2019-02-08,026,19,7,143,###################=======,AJYT-3559+BPUW-1369+BVUB-0093+BXPG-4160+DOQS-6727+HNJO-5504+MGQK-0871+MLVG-6486+NOZK-3836+OPPT-1297+PBHJ-9721+RQVY-7399+SWAG-6509+UTNP-6934+VPWN-9823+WQXB-7118+XNYI-7909+YBPU-7011+ZKEI-0501,DALD-6076+DKLF-5015+DONG-2707+MURE-9520+RFTH-1186+VAGS-1143+WOFN-0089
2019-02-09,008,6,2,147,######==,BPUW-1369+CNGA-8978+HNFU-2596+MGQK-0871+OPPT-1297+VPWN-9823,ILDM-9706+ZJOX-6261
2019-02-10,007,5,2,149,#####==,BPUW-1369+BXPG-4160+HNFU-2596+HNJO-5504+XNYI-7909,AQPL-0822+NPSO-1814
2019-02-11,018,15,3,156,###############===,ALJY-9166+BVUB-0093+BXPG-4160+CNGA-8978+DOQS-6727+ECPV-4896+GBOG-7208+HNFU-2596+MLVG-6486+MLWU-2520+OTOI-3400+RHBP-1081+SWAG-6509+VPWN-9823+XKIT-5112,IQRH-8807+OOPY-8200+YUHP-0469
2019-02-12,015,9,6,163,#########======,ALJY-9166+BPUW-1369+BVUB-0093+BXPG-4160+MLVG-6486+QVZH-8257+RHBP-1081+XKIT-5112+XNYI-7909,GGFO-3720+QBDH-3741+QQGB-4572+YDTK-2829+YZYF-0837+ZGYB-0632
2019-02-13,018,13,5,170,#############=====,AJYT-3559+ALJY-9166+ATBI-8760+BVUB-0093+BXPG-4160+JHCU-0921+LYZT-7818+OTOI-3400+QTML-9311+SWAG-6509+UTNP-6934+XKIT-5112+XNYI-7909,AAZN-4290+CXKK-4888+HIRB-6291+LZIK-9629+RYCW-7468
2019-02-14,013,9,4,176,#########====,BXPG-4160+JZVP-7561+LUHO-0453+LYZT-7818+MGQK-0871+QVZH-8257+XKIT-5112+XNYI-7909+YSVY-7613,FRXJ-3979+JEKK-3063+JVAZ-7736+UTRU-2751
2019-02-15,016,9,7,183,#########=======,ALJY-9166+BXPG-4160+JZVP-7561+POHS-7433+QOYQ-2964+QTML-9311+QVZH-8257+SWAG-6509+VPWN-9823,BTEG-9805+KVJC-4418+QRPK-6481+RGOA-9615+WFXE-7020+XQEK-6791+YSLB-0827
2019-02-16,011,5,6,190,#####======,ATBI-8760+OTOI-3400+VPWN-9823+XNYI-7909+ZPFR-6458,JOMC-8616+LANJ-0702+NAXU-7001+PLJP-6164+VHRW-0220+XSKN-4301
2019-02-17,007,7,0,190,#######,BPUW-1369+BXPG-4160+MLWU-2520+RHBP-1081+UTNP-6934+VPWN-9823+XNYI-7909,
2019-02-18,023,14,9,200,##############=========,BPUW-1369+BVUB-0093+BXPG-4160+DUKR-6322+JHOK-7920+MLWU-2520+PBHJ-9721+QOYQ-2964+QVZH-8257+RHBP-1081+VPWN-9823+XKIT-5112+XNYI-7909+ZPFR-6458,BJCE-3098+BNGV-3514+CIUX-3207+MOSI-0343+PCNN-0842+QOFE-2098+QPPL-4185+RJAH-9735+ZFQP-7142
2019-02-19,026,16,10,212,################==========,ALJY-9166+BVUB-0093+BXPG-4160+ELEK-5479+HLSR-7855+JHOK-7920+MJHD-4585+MLVG-6486+MLWU-2520+PBHJ-9721+QVZH-8257+TFJE-4954+VPWN-9823+XNYI-7909+YBPU-7011+YSVY-7613,HAWL-3021+HDFL-3697+NXTV-4647+OQWC-9402+PWXO-1157+RCJG-4479+WETV-1838+YEZE-1224+ZEIF-0760+ZLUE-1865
